index,Company,City,Industry,Percentage,Date,Funds_Raised,Stage,Country,Laid_Off_Count,strength,Reason,Year,Month,Quarters,category_label_encoded
1,Electronic Arts,SF Bay Area,Consumer,0.05,2024-02-28,2.0,Post-IPO,United States,670.0,13400.0,layoff_permanent,2024,February,2024Q1,31
24,Voi,Stockholm,Transportation,0.12,2024-02-16,515.0,Series D,United States,120.0,1000.0,closure_permanent,2024,February,2024Q1,38
25,Toast,Boston,Food,0.1,2024-02-15,962.0,Post-IPO,United States,550.0,5500.0,down_sizing,2024,February,2024Q1,4
26,Sonder,SF Bay Area,Travel,0.17,2024-02-15,839.0,Post-IPO,United States,106.0,624.0,layoff_temporary,2024,February,2024Q1,31
31,Cisco,SF Bay Area,Infrastructure,0.05,2024-02-14,2.0,Post-IPO,United States,4250.0,85000.0,layoff_permanent,2024,February,2024Q1,31
34,Instacart,SF Bay Area,Food,0.07,2024-02-13,2900.0,Post-IPO,United States,250.0,3571.0,layoff_permanent,2024,February,2024Q1,31
55,Snap,Los Angeles,Consumer,0.1,2024-02-05,4900.0,Post-IPO,United States,500.0,5000.0,layoff_permanent,2024,February,2024Q1,19
64,Cue Health,San Diego,Healthcare,0.3,2024-02-02,899.0,Post-IPO,United States,245.0,817.0,layoff_permanent,2024,February,2024Q1,33
69,Okta,SF Bay Area,Security,0.07,2024-02-01,1200.0,Post-IPO,United States,400.0,5714.0,layoff_permanent,2024,February,2024Q1,31
81,PayPal,SF Bay Area,Finance,0.09,2024-01-30,216.0,Post-IPO,United States,2500.0,27778.0,layoff_permanent,2024,January,2024Q1,31
82,Block,SF Bay Area,Finance,0.1,2024-01-30,150.0,Post-IPO,United States,1000.0,10000.0,down_sizing,2024,January,2024Q1,31
84,Aurora Solar,SF Bay Area,Energy,0.2,2024-01-30,523.0,Series D,United States,111.0,555.0,layoff_permanent,2024,January,2024Q1,31
93,Salesforce,SF Bay Area,Sales,0.01,2024-01-26,65.0,Post-IPO,United States,700.0,70000.0,layoff_permanent,2024,January,2024Q1,31
110,eBay,SF Bay Area,Retail,0.09,2024-01-23,1200.0,Post-IPO,United States,1000.0,11111.0,layoff_permanent,2024,January,2024Q1,31
112,Brex,SF Bay Area,Finance,0.2,2024-01-23,1500.0,Series D,United States,282.0,1410.0,layoff_permanent,2024,January,2024Q1,31
117,Riot Games,Los Angeles,Consumer,0.11,2024-01-22,21.0,Acquired,United States,530.0,4818.0,layoff_permanent,2024,January,2024Q1,19
124,Wayfair,Boston,Retail,0.13,2024-01-19,1700.0,Post-IPO,United States,1650.0,12692.0,layoff_permanent,2024,January,2024Q1,4
143,Discord,SF Bay Area,Consumer,0.17,2024-01-11,995.0,Series H,United States,170.0,1000.0,layoff_permanent,2024,January,2024Q1,31
153,Citrix,Miami,Infrastructure,0.12,2024-01-10,20.0,Acquired,United States,1000.0,8333.0,layoff_permanent,2024,January,2024Q1,20
162,Twitch,SF Bay Area,Consumer,0.35,2024-01-09,35.0,Acquired,United States,500.0,1429.0,layoff_permanent,2024,January,2024Q1,31
164,Nevro,SF Bay Area,Healthcare,0.05,2024-01-09,556.0,Post-IPO,United States,63.0,1260.0,layoff_permanent,2024,January,2024Q1,31
167,Rent the Runway,New York City,Retail,0.1,2024-01-09,526.0,Post-IPO,United States,37.0,370.0,closure_temporary,2024,January,2024Q1,25
169,Humane,SF Bay Area,Hardware,0.04,2024-01-09,230.0,Series C,United States,10.0,250.0,closure_permanent,2024,January,2024Q1,31
173,Unity,SF Bay Area,Other,0.25,2024-01-08,1300.0,Post-IPO,United States,1800.0,7200.0,layoff_permanent,2024,January,2024Q1,31
176,Flexe,Seattle,Logistics,0.38,2024-01-08,263.0,Series D,United States,99.0,261.0,down_sizing,2024,January,2024Q1,36
185,Cue Health,San Diego,Healthcare,0.13,2024-01-05,899.0,Post-IPO,United States,94.0,723.0,layoff_permanent,2024,January,2024Q1,33
